,,,,Session Position,,,,,,
Model,Experiment,2,3,4,5,6,7,8,9,10
Dummy Classifier,Dummy Classifier,59.17,53.25,48.52,50.30,54.68,50.46,59.57,47.67,47.37
,,,,,,,,,,
,M-Basic 0-shot,57.20,54.44,58.19,59.76,57.31,53.52,58.16,49.61,64.47
,M-Basic 1-shot,39.64,46.75,53.25,52.86,54.20,50.15,53.19,50.78,58.77
,M-All 0-shot,57.20,54.64,56.61,53.25,50.12,50.46,45.74,54.65,58.33
,M-All 1-shot,49.31,56.02,62.13,56.80,55.16,53.52,49.29,55.81,57.46
Llama 3.0,M-All + F 0-shot,58.97,53.25,56.61,53.65,48.68,50.46,40.43,52.33,50.88
,M-All + F 1-shot,50.49,48.52,48.92,51.48,50.12,52.91,38.65,49.61,57.89
,M-All + F + SC 0-shot,61.14,54.04,54.04,51.87,46.04,47.99,41.37,53.20,55.84
,M-All + F + SC 1-shot,51.68,52.66,51.87,54.83,53.96,50.76,46.10,52.33,46.49
,F + SC 0-shot,55.62,54.24,54.24,51.48,46.52,51.08,45.19,53.38,54.03
,F + SC 1-shot,55.03,50.89,53.25,55.62,57.79,51.99,48.58,55.43,57.89
,Average,53.63,52.54,54.91,54.16,51.99,51.28,46.67,52.71,56.21
,M-Basic 0-shot,58.78,52.86,52.07,51.48,47.00,48.62,42.91,55.81,57.02
,M-Basic 1-shot,48.92,48.32,48.32,49.31,51.56,44.34,46.45,49.22,57.02
,M-All 0-shot,57.79,53.25,54.44,51.08,47.48,49.24,46.10,52.71,54.82
,M-All 1-shot,52.86,52.66,62.72,59.57,56.12,56.27,51.06,55.81,53.07
Llama 3.1,M-All + F 0-shot,57.82,53.45,52.86,51.28,47.00,51.99,41.84,54.65,54.39
,M-All + F 1-shot,60.36,53.85,53.85,51.48,48.20,51.68,44.33,48.84,49.56
,M-All + F + SC 0-shot,58.70,53.06,53.36,54.96,46.76,49.39,48.58,52.33,44.74
,M-All + F + SC 1-shot,55.82,56.80,51.08,56.41,57.31,51.07,54.26,54.65,62.28
,F + SC 0-shot,58.58,54.24,51.57,54.24,49.27,48.32,43.62,51.55,53.51
,F + SC 1-shot,56.41,56.61,57.79,61.54,59.23,51.99,45.04,57.75,60.96
,Average,56.60,53.51,53.81,54.14,50.99,50.29,46.42,53.33,54.74
,M-Basic 0-shot,63.71,69.23,74.75,70.41,68.59,61.77,71.28,58.53,66.23
,M-Basic 1-shot,63.91,69.23,74.16,68.24,67.63,60.55,64.54,60.08,60.96
,M-All 0-shot,65.88,69.23,71.60,70.81,70.02,63.00,70.57,55.81,59.65
,M-All 1-shot,65.29,68.05,70.22,68.84,64.99,60.55,63.83,55.43,55.70
Gemini 1.5 Flash,M-All + F 0-shot,61.14,65.88,71.99,69.23,70.74,61.47,67.73,57.36,57.46
,M-All + F 1-shot,62.72,65.29,67.85,65.68,61.15,58.72,58.87,58.53,54.82
,M-All + F + SC 0-shot,63.12,66.67,71.40,71.60,67.39,64.83,63.12,61.63,67.11
,M-All + F + SC 1-shot,66.27,66.47,64.50,64.10,61.15,54.43,57.45,58.53,55.70
,F + SC 0-shot,64.30,63.51,70.02,71.20,66.67,63.00,65.96,60.08,66.23
,F + SC 1-shot,59.57,59.57,64.10,61.74,62.83,55.05,57.45,51.55,57.89
,Average,63.59,66.31,70.06,68.19,66.12,60.34,64.08,57.75,60.18
,,,,,,,,,,
